epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1117.4,0.99953,1.17766,1.57597,0.91947,0.92857,0.96444,0.51211,1.63415,1.07935,2.42049,0.0014456,0.0014456,0.0014456
44,1134.43,0.96408,1.0752,1.47617,0.92333,0.92857,0.94063,0.51748,1.55559,1.22664,2.38847,0.0014324,0.0014324,0.0014324
45,1151.39,1.08403,1.13039,1.5955,0.92024,0.92857,0.91653,0.56334,1.43612,1.13724,2.09508,0.0014192,0.0014192,0.0014192
46,1168.7,1.04963,1.13007,1.56507,0.91964,0.85714,0.90704,0.5574,1.44922,1.12546,2.04736,0.001406,0.001406,0.001406
47,1186.06,0.99592,1.12758,1.52625,0.9874,1,0.995,0.56616,1.38236,1.01605,1.98588,0.0013928,0.0013928,0.0013928
48,1203.16,1.01538,1.07035,1.48052,0.96827,1,0.995,0.59706,1.23982,1.02973,1.83825,0.0013796,0.0013796,0.0013796
49,1220.1,0.88215,0.94394,1.41632,0.92175,1,0.981,0.67232,0.91338,1.01205,1.48342,0.0013664,0.0013664,0.0013664
50,1237.33,1.01766,0.98264,1.51932,0.91101,1,0.97633,0.67327,0.93581,1.20106,1.55171,0.0013532,0.0013532,0.0013532
51,1254.38,0.99079,1.1336,1.5375,0.87483,0.99857,0.97625,0.60745,1.01117,1.48968,1.65426,0.00134,0.00134,0.00134
52,1271.6,0.95981,1.03669,1.45407,0.95869,1,0.995,0.72669,0.88965,0.74797,1.4738,0.0013268,0.0013268,0.0013268
53,1289.26,0.96862,0.98699,1.5061,0.99572,1,0.995,0.79695,0.83181,0.75431,1.33666,0.0013136,0.0013136,0.0013136
54,1306.42,1.1812,1.19292,1.64899,0.99045,1,0.995,0.81602,0.76556,0.76139,1.27213,0.0013004,0.0013004,0.0013004
55,1323.66,1.01848,1.03731,1.53421,0.99123,1,0.995,0.73678,0.90249,0.71904,1.46771,0.0012872,0.0012872,0.0012872
56,1341.04,1.01002,0.9843,1.46764,0.98657,1,0.995,0.7009,0.97624,0.71148,1.59022,0.001274,0.001274,0.001274
57,1357.96,0.98612,1.06913,1.51374,1,0.99707,0.995,0.75753,0.79492,0.86719,1.37582,0.0012608,0.0012608,0.0012608
58,1375.18,0.8538,0.97964,1.39961,0.96212,1,0.995,0.75814,0.79886,0.91022,1.38348,0.0012476,0.0012476,0.0012476
59,1392.26,1.00937,1.07993,1.53057,0.97733,1,0.995,0.73948,0.88519,0.8288,1.47216,0.0012344,0.0012344,0.0012344
60,1409.25,1.02356,1.05542,1.51222,0.98741,1,0.995,0.6701,1.16381,0.70454,1.84139,0.0012212,0.0012212,0.0012212
61,1426.09,1.0177,1.00002,1.4954,0.98993,1,0.995,0.67674,1.16849,0.70635,1.82349,0.001208,0.001208,0.001208
62,1443.25,0.91517,0.95083,1.43244,0.99215,1,0.995,0.66986,1.09662,0.66438,1.74432,0.0011948,0.0011948,0.0011948
63,1460.43,0.9543,0.9255,1.47467,0.90258,1,0.99033,0.74461,0.89599,0.81093,1.48354,0.0011816,0.0011816,0.0011816
64,1478.35,0.86352,0.84327,1.43813,0.87323,0.92857,0.97625,0.68258,0.87947,0.89763,1.38775,0.0011684,0.0011684,0.0011684
65,1495.59,0.90731,0.95699,1.44327,1,0.9981,0.995,0.74307,0.93233,0.707,1.38753,0.0011552,0.0011552,0.0011552
66,1512.71,0.90455,0.95169,1.47428,1,0.9969,0.995,0.71288,1.08233,0.71433,1.54722,0.001142,0.001142,0.001142
67,1529.97,0.84426,0.89157,1.39819,1,0.99341,0.995,0.67473,1.15686,0.77489,1.63799,0.0011288,0.0011288,0.0011288
68,1547.18,0.88415,0.88045,1.40766,0.87284,0.98147,0.95596,0.63772,1.04103,0.90468,1.5995,0.0011156,0.0011156,0.0011156
69,1563.99,0.94457,0.97794,1.4525,1,0.90262,0.98625,0.69755,0.94262,0.83011,1.58382,0.0011024,0.0011024,0.0011024
70,1580.87,0.97235,0.85018,1.46936,0.85661,1,0.95596,0.66079,0.93526,0.82829,1.61692,0.0010892,0.0010892,0.0010892
71,1726.21,0.92208,0.92092,1.43722,0.93273,0.9909,0.99033,0.71764,0.90663,0.69829,1.53856,0.001076,0.001076,0.001076
72,1742.51,0.92374,0.86091,1.46017,1,0.98913,0.995,0.69966,0.91427,0.67223,1.52651,0.0010628,0.0010628,0.0010628
73,1758.26,0.93837,0.86449,1.4469,0.99381,1,0.995,0.65707,1.06674,0.58455,1.62417,0.0010496,0.0010496,0.0010496
74,1774.39,0.92704,0.94424,1.43661,0.9942,1,0.995,0.64548,1.08663,0.60244,1.6436,0.0010364,0.0010364,0.0010364
75,1790.31,0.85353,0.94113,1.36425,0.99357,1,0.995,0.67246,0.94706,0.61584,1.48783,0.0010232,0.0010232,0.0010232
76,1806.38,0.95486,0.89521,1.39997,1,0.9998,0.995,0.76581,0.83421,0.79235,1.41626,0.00101,0.00101,0.00101
77,1823.61,0.93243,0.84332,1.46905,1,0.96845,0.995,0.74301,0.84386,0.81846,1.42935,0.0009968,0.0009968,0.0009968
78,1841.06,0.91969,0.896,1.47324,1,0.98622,0.995,0.72718,0.88878,0.75975,1.46745,0.0009836,0.0009836,0.0009836
79,1858.19,1.04405,1.02331,1.48799,1,0.9924,0.995,0.68546,1.11365,0.69242,1.67542,0.0009704,0.0009704,0.0009704
80,1875.27,0.86037,0.82194,1.3769,1,0.99174,0.995,0.67597,1.11037,0.77265,1.67921,0.0009572,0.0009572,0.0009572
81,1892.76,0.92502,0.86977,1.4589,0.93243,0.98647,0.98567,0.71694,1.03471,0.77468,1.58317,0.000944,0.000944,0.000944
82,1910.33,0.8406,0.79746,1.39644,0.98828,0.85714,0.9775,0.72142,0.97647,0.77469,1.49829,0.0009308,0.0009308,0.0009308
83,1927.51,0.96628,1.00413,1.49727,0.92785,0.91925,0.98125,0.7278,0.98788,0.77764,1.49379,0.0009176,0.0009176,0.0009176
84,1944.56,0.88863,0.86462,1.41343,0.93312,0.99681,0.99033,0.67841,1.07558,0.67154,1.65475,0.0009044,0.0009044,0.0009044
85,1961.61,0.93195,0.86795,1.45976,0.9333,0.99952,0.99033,0.6742,1.02371,0.65591,1.61572,0.0008912,0.0008912,0.0008912
86,1978.77,0.92815,0.97336,1.44577,0.93013,1,0.99033,0.70157,0.99021,0.62948,1.55883,0.000878,0.000878,0.000878
87,1995.98,0.89372,0.8764,1.42048,0.92501,1,0.99033,0.72112,0.93357,0.60847,1.52457,0.0008648,0.0008648,0.0008648
88,2013.15,0.90035,0.86771,1.44541,1,0.99335,0.995,0.72781,0.92851,0.58805,1.54144,0.0008516,0.0008516,0.0008516
89,2031.31,0.90618,0.88693,1.40512,0.99379,1,0.995,0.73225,0.89706,0.54392,1.52639,0.0008384,0.0008384,0.0008384
90,2048.55,0.8903,0.85232,1.40796,0.99303,1,0.995,0.72032,0.9092,0.54152,1.54676,0.0008252,0.0008252,0.0008252
91,2065.41,0.77325,0.76223,1.32999,0.98314,1,0.995,0.71412,0.91106,0.54449,1.5653,0.000812,0.000812,0.000812
92,2082.42,0.8857,0.82742,1.43332,0.9904,1,0.995,0.72626,0.8894,0.53061,1.54351,0.0007988,0.0007988,0.0007988
93,2099.29,0.82332,0.7776,1.33157,0.99441,1,0.995,0.71919,0.86748,0.525,1.49681,0.0007856,0.0007856,0.0007856
